timestamp_ms,raw
578602,0
578679,0
578756,0
578833,0
578910,0
578987,0
579064,0
579141,0
579218,0
579295,0
579372,0
579449,0
579526,0
579603,0
579680,0
579757,0
579834,0
579911,0
579988,0
580065,0
580142,0
580219,0
580296,0
580373,0
580450,0
580527,0
580604,0
580681,0
580758,0
580835,0
580912,0
580989,0
581066,0
581143,0
581220,0
581297,0
581374,0
581451,0
581528,0
581605,0
581682,0
581759,0
581836,0
581913,0
581990,0
582067,0
582144,0
582221,0
582298,0
582375,0
582452,0
582529,0
582606,0
582683,0
582760,0
582837,0
582914,0
582991,0
583068,0
583145,0
583222,0
583299,429
583379,562
583460,588
583542,590
583624,580
583706,579
583788,581
583870,583
583952,573
584034,580
584116,570
584198,578
584280,569
584362,570
584444,571
584526,566
584608,566
584690,544
584772,516
584854,472
584936,487
585018,492
585100,465
585182,374
585265,353
585348,378
585431,415
585514,196
585597,4
585678,0
585758,0
585838,0
585917,0
585994,0
586071,0
586148,0
586225,0
586302,0
586379,0
586456,0
586533,0
586610,0
586687,0
586764,0
586841,0
586918,0
586995,0
587072,0
587149,0
587226,0
587303,0
587380,0
587457,0
587534,0
587611,0
587688,0
587765,0
587842,0
587919,0
587996,0
588073,0
588150,0
588227,0
588304,0
588381,0
588458,0
588535,0
588612,0
588689,0
588766,0
588843,0
588920,0
588997,0
589074,0
589151,0
589228,0
589305,0
589382,0
589459,0
589536,0
589613,0
589690,0
589767,461
589847,540
589928,563
590010,568
590092,555
590174,535
590256,521
590338,504
590420,500
590502,497
590584,500
590666,501
590748,500
590830,481
590912,460
590994,441
591076,458
591158,441
591240,427
591322,451
591404,434
591486,375
591568,397
591650,418
591733,309
591816,336
591899,380
591982,436
592065,465
592148,483
592231,432
592314,13
592396,0
592477,0
592557,0
592636,0
592714,0
592792,0
592870,0
592948,0
593025,0
593102,0
593179,0
593256,0
593333,0
593410,0
593487,0
593564,0
593641,0
593718,0
593795,0
593872,0
593949,0
594026,0
594103,0
594180,0
594257,0
594334,0
594411,0
594488,0
594565,0
594642,0
594719,0
594796,0
594873,0
594950,0
595027,0
595104,0
595181,0
595258,0
595335,0
595412,0
595489,0
595566,0
595643,250
595723,559
595804,607
595886,616
595968,604
596050,610
596132,606
596214,603
596296,607
596378,593
596460,598
596542,586
596624,586
596706,575
596788,566
596870,567
596952,540
597034,477
597116,442
597198,30
597279,0
597359,0
597438,0
597516,0
597593,0
597670,0
597747,0
597824,0
597901,0
597978,0
598055,0
598132,0
598209,0
598286,0
598363,0
598440,0
598517,0
598594,0
598671,0
598748,0
598825,0
598902,0
598979,0
599056,0
599133,0
599210,0
599287,0
599364,0
599441,0
599518,0
599595,0
599672,0
599749,0
599826,0
599903,0
599980,0
600057,0
600134,0
600211,0
600288,0
600365,0
600442,0
600519,0
600596,0
